file_name,batch_folder,plan_name_raw,plan_id_candidate
whitefield-re-connect-v-2-plan--4EzMxg8kLXbdFy8379ZV.zip,vetro_manual_batch1_2026-01-30,whitefield-re-connect-v-2-plan--4EzMxg8kLXbdFy8379ZV,re-connect-v-2-plan--4EzMxg8kLXbdFy8379ZV
arundel-large-scale-hood-plan-jwlSdgJnXxrZRlMA7jWvH.zip,vetro_manual_batch2_2026-01-30,arundel-large-scale-hood-plan-jwlSdgJnXxrZRlMA7jWvH,large-scale-hood-plan-jwlSdgJnXxrZRlMA7jWvH
auburn-large-scale-hood-plan-L_pOxBbeCC_HyeSUCnsaA.zip,vetro_manual_batch2_2026-01-30,auburn-large-scale-hood-plan-L_pOxBbeCC_HyeSUCnsaA,large-scale-hood-plan-L_pOxBbeCC_HyeSUCnsaA
belfast-opp-zone-plan-Ipjipla98R1-lpFH10yYM.zip,vetro_manual_batch2_2026-01-30,belfast-opp-zone-plan-Ipjipla98R1-lpFH10yYM,opp-zone-plan-Ipjipla98R1-lpFH10yYM
belfast-oz-route-1-and-downtown-plan-GjSuOL7xpA5rW-2GwWZLP.zip,vetro_manual_batch2_2026-01-30,belfast-oz-route-1-and-downtown-plan-GjSuOL7xpA5rW-2GwWZLP,oz-route-1-and-downtown-plan-GjSuOL7xpA5rW-2GwWZLP
biddeford-large-scale-hood-plan-YGFCRbPaxWpWolDkUpCR-.zip,vetro_manual_batch2_2026-01-30,biddeford-large-scale-hood-plan-YGFCRbPaxWpWolDkUpCR-,large-scale-hood-plan-YGFCRbPaxWpWolDkUpCR-
brunswick-large-scale-hood-plan-Kbud-RMOInRR_8Iy_rkdt.zip,vetro_manual_batch2_2026-01-30,brunswick-large-scale-hood-plan-Kbud-RMOInRR_8Iy_rkdt,large-scale-hood-plan-Kbud-RMOInRR_8Iy_rkdt
brunswick-opp-zone-plan-UIELpi6iWQ5b4qub4D412.zip,vetro_manual_batch2_2026-01-30,brunswick-opp-zone-plan-UIELpi6iWQ5b4qub4D412,opp-zone-plan-UIELpi6iWQ5b4qub4D412
brunswick-oz-old-bath-rd-plan-Dss6QvPZgN2a5DwyWRZFv.zip,vetro_manual_batch2_2026-01-30,brunswick-oz-old-bath-rd-plan-Dss6QvPZgN2a5DwyWRZFv,oz-old-bath-rd-plan-Dss6QvPZgN2a5DwyWRZFv
brunswick-oz-wildwood-plan-tYjdHtkOc-OZgQcNldXZt.zip,vetro_manual_batch2_2026-01-30,brunswick-oz-wildwood-plan-tYjdHtkOc-OZgQcNldXZt,oz-wildwood-plan-tYjdHtkOc-OZgQcNldXZt
canaan-rus-hood-plan-sxLCy-w--m0rkSikkzbBj.zip,vetro_manual_batch2_2026-01-30,canaan-rus-hood-plan-sxLCy-w--m0rkSikkzbBj,rus-hood-plan-sxLCy-w--m0rkSikkzbBj
casco-rus-hood-plan-yXPecVDFZHqAEmhkw5y5B.zip,vetro_manual_batch2_2026-01-30,casco-rus-hood-plan-yXPecVDFZHqAEmhkw5y5B,rus-hood-plan-yXPecVDFZHqAEmhkw5y5B
chesterville-rus-hood-plan-8BVvxgGYCWh06y8Qm8lRK.zip,vetro_manual_batch2_2026-01-30,chesterville-rus-hood-plan-8BVvxgGYCWh06y8Qm8lRK,rus-hood-plan-8BVvxgGYCWh06y8Qm8lRK
cumberland-large-scale-hood-plan-8P9QtLobXwHJf_IC400iM.zip,vetro_manual_batch2_2026-01-30,cumberland-large-scale-hood-plan-8P9QtLobXwHJf_IC400iM,large-scale-hood-plan-8P9QtLobXwHJf_IC400iM
deer-isle-all-premises-plan-a3aO3HhrS85pSvGMAGnrJ.zip,vetro_manual_batch2_2026-01-30,deer-isle-all-premises-plan-a3aO3HhrS85pSvGMAGnrJ,isle-all-premises-plan-a3aO3HhrS85pSvGMAGnrJ
deer-isle-fttx-backbone-plan-_unCn6WKSAQCPyNafpWvQ.zip,vetro_manual_batch2_2026-01-30,deer-isle-fttx-backbone-plan-_unCn6WKSAQCPyNafpWvQ,isle-fttx-backbone-plan-_unCn6WKSAQCPyNafpWvQ
dixfield-rus-hood-plan-YdikujV-XWkJUOVWiHRJX.zip,vetro_manual_batch2_2026-01-30,dixfield-rus-hood-plan-YdikujV-XWkJUOVWiHRJX,rus-hood-plan-YdikujV-XWkJUOVWiHRJX
falmouth-large-scale-hood-plan-zK56o8TPoKK6GNu7w4juG.zip,vetro_manual_batch2_2026-01-30,falmouth-large-scale-hood-plan-zK56o8TPoKK6GNu7w4juG,large-scale-hood-plan-zK56o8TPoKK6GNu7w4juG
farmington-rus-hood-plan-Wiv3pFrUmCJNaN2P6oYkX.zip,vetro_manual_batch2_2026-01-30,farmington-rus-hood-plan-Wiv3pFrUmCJNaN2P6oYkX,rus-hood-plan-Wiv3pFrUmCJNaN2P6oYkX
freeport-large-scale-hood-plan-8kXFjxcpgatbqwpJgS4XE.zip,vetro_manual_batch2_2026-01-30,freeport-large-scale-hood-plan-8kXFjxcpgatbqwpJgS4XE,large-scale-hood-plan-8kXFjxcpgatbqwpJgS4XE
gorham-large-scale-hood-plan-6i4anOwPfJauA0DlSc9TJ.zip,vetro_manual_batch2_2026-01-30,gorham-large-scale-hood-plan-6i4anOwPfJauA0DlSc9TJ,large-scale-hood-plan-6i4anOwPfJauA0DlSc9TJ
hebron-re-connect-locations-plan-Tz1nJBDR7UaQVRx0DAizW.zip,vetro_manual_batch2_2026-01-30,hebron-re-connect-locations-plan-Tz1nJBDR7UaQVRx0DAizW,re-connect-locations-plan-Tz1nJBDR7UaQVRx0DAizW
kennebunk-large-scale-hood-plan-oiDx58JjYHR_9nBA8x7xV.zip,vetro_manual_batch2_2026-01-30,kennebunk-large-scale-hood-plan-oiDx58JjYHR_9nBA8x7xV,large-scale-hood-plan-oiDx58JjYHR_9nBA8x7xV
kennebunkport-large-scale-hood-plan-p2bZZFGgvVGOeDYF7b89Y.zip,vetro_manual_batch2_2026-01-30,kennebunkport-large-scale-hood-plan-p2bZZFGgvVGOeDYF7b89Y,large-scale-hood-plan-p2bZZFGgvVGOeDYF7b89Y
lewiston-large-scale-hood-plan-JTMGyFf2FUS7oMHX7E0OW.zip,vetro_manual_batch2_2026-01-30,lewiston-large-scale-hood-plan-JTMGyFf2FUS7oMHX7E0OW,large-scale-hood-plan-JTMGyFf2FUS7oMHX7E0OW
lewiston-opp-zone-plan-epJXOCzFYXX7BumriAIM3.zip,vetro_manual_batch2_2026-01-30,lewiston-opp-zone-plan-epJXOCzFYXX7BumriAIM3,opp-zone-plan-epJXOCzFYXX7BumriAIM3
madison-opp-zone-downtown-plan-hawbjbTSeZUQU8lttV262.zip,vetro_manual_batch2_2026-01-30,madison-opp-zone-downtown-plan-hawbjbTSeZUQU8lttV262,opp-zone-downtown-plan-hawbjbTSeZUQU8lttV262
madison-opp-zone-plan-eL_nUeP6NM3ikVt6x7rg2.zip,vetro_manual_batch2_2026-01-30,madison-opp-zone-plan-eL_nUeP6NM3ikVt6x7rg2,opp-zone-plan-eL_nUeP6NM3ikVt6x7rg2
madison-rus-hood-plan-prKcCaNJyVJkM65yeGmtO.zip,vetro_manual_batch2_2026-01-30,madison-rus-hood-plan-prKcCaNJyVJkM65yeGmtO,rus-hood-plan-prKcCaNJyVJkM65yeGmtO
millinocket-opp-zone-east-millinocket-plan-J-eVq4BKJx3i2HVJ3PhRK.zip,vetro_manual_batch2_2026-01-30,millinocket-opp-zone-east-millinocket-plan-J-eVq4BKJx3i2HVJ3PhRK,opp-zone-east-millinocket-plan-J-eVq4BKJx3i2HVJ3PhRK
millinocket-opp-zone-plan-1wQrFjyiPkfmsbzz_aEOm.zip,vetro_manual_batch2_2026-01-30,millinocket-opp-zone-plan-1wQrFjyiPkfmsbzz_aEOm,opp-zone-plan-1wQrFjyiPkfmsbzz_aEOm
millinocket-oz-millinocket-plan-GF17v6twUrlDalBKh3BBW.zip,vetro_manual_batch2_2026-01-30,millinocket-oz-millinocket-plan-GF17v6twUrlDalBKh3BBW,oz-millinocket-plan-GF17v6twUrlDalBKh3BBW
new-sharon-rus-hood-plan-sbOGn03CxgytfocY-gUf9.zip,vetro_manual_batch2_2026-01-30,new-sharon-rus-hood-plan-sbOGn03CxgytfocY-gUf9,sharon-rus-hood-plan-sbOGn03CxgytfocY-gUf9
norridgewock-rus-hood-plan-zUYkFPjY7UKKS9QH-6_Yb.zip,vetro_manual_batch2_2026-01-30,norridgewock-rus-hood-plan-zUYkFPjY7UKKS9QH-6_Yb,rus-hood-plan-zUYkFPjY7UKKS9QH-6_Yb
paris-norway-opp-zone-plan-GuS2OvLBhrvtRd2Fii9H5.zip,vetro_manual_batch2_2026-01-30,paris-norway-opp-zone-plan-GuS2OvLBhrvtRd2Fii9H5,norway-opp-zone-plan-GuS2OvLBhrvtRd2Fii9H5
paris-norway-oz-downtown-plan-QoAm19VrDhS61Sx_j7CKp.zip,vetro_manual_batch2_2026-01-30,paris-norway-oz-downtown-plan-QoAm19VrDhS61Sx_j7CKp,norway-oz-downtown-plan-QoAm19VrDhS61Sx_j7CKp
penobscot-rfp-proposed-area-plan-OdASWhp1HvwV-gT75NwOd.zip,vetro_manual_batch2_2026-01-30,penobscot-rfp-proposed-area-plan-OdASWhp1HvwV-gT75NwOd,rfp-proposed-area-plan-OdASWhp1HvwV-gT75NwOd
portland-deering-ctr-to-nasons-corner-plan-7EzNJTPWBKYaERcYB5rzF.zip,vetro_manual_batch2_2026-01-30,portland-deering-ctr-to-nasons-corner-plan-7EzNJTPWBKYaERcYB5rzF,deering-ctr-to-nasons-corner-plan-7EzNJTPWBKYaERcYB5rzF
portland-forest-and-woodford-plan-HiNROUPiGRA6M_RdBgcdu.zip,vetro_manual_batch2_2026-01-30,portland-forest-and-woodford-plan-HiNROUPiGRA6M_RdBgcdu,forest-and-woodford-plan-HiNROUPiGRA6M_RdBgcdu
portland-rosemont-large-scale-plan-XTXeI-sSrNofbu_7hfN9N.zip,vetro_manual_batch2_2026-01-30,portland-rosemont-large-scale-plan-XTXeI-sSrNofbu_7hfN9N,rosemont-large-scale-plan-XTXeI-sSrNofbu_7hfN9N
portland-west-end-plan-EInEN1Qh3jCpPeOspVAat.zip,vetro_manual_batch2_2026-01-30,portland-west-end-plan-EInEN1Qh3jCpPeOspVAat,west-end-plan-EInEN1Qh3jCpPeOspVAat
rangeley-rus-hood-plan-ae5Mnr2SSC2aPGGeveOdu.zip,vetro_manual_batch2_2026-01-30,rangeley-rus-hood-plan-ae5Mnr2SSC2aPGGeveOdu,rus-hood-plan-ae5Mnr2SSC2aPGGeveOdu
raymond-rus-hood-plan-P3y_QvIcAG0QpQbgnqLBA.zip,vetro_manual_batch2_2026-01-30,raymond-rus-hood-plan-P3y_QvIcAG0QpQbgnqLBA,rus-hood-plan-P3y_QvIcAG0QpQbgnqLBA
route-4-rus-hood-plan-O_t9u7fB-bgN7K_e8obQO.zip,vetro_manual_batch2_2026-01-30,route-4-rus-hood-plan-O_t9u7fB-bgN7K_e8obQO,4-rus-hood-plan-O_t9u7fB-bgN7K_e8obQO
rumford-mexico-large-scale-hood-plan-CCBjM0Gp7m2-JC7zzrE0W.zip,vetro_manual_batch2_2026-01-30,rumford-mexico-large-scale-hood-plan-CCBjM0Gp7m2-JC7zzrE0W,mexico-large-scale-hood-plan-CCBjM0Gp7m2-JC7zzrE0W
rumford-oz-downtown-and-mexico-plan-uUC2hphZJHmymRg2fsuu6.zip,vetro_manual_batch2_2026-01-30,rumford-oz-downtown-and-mexico-plan-uUC2hphZJHmymRg2fsuu6,oz-downtown-and-mexico-plan-uUC2hphZJHmymRg2fsuu6
rumford-oz-downtown-plan-sXGTZdK36gwa5petnCqhv.zip,vetro_manual_batch2_2026-01-30,rumford-oz-downtown-plan-sXGTZdK36gwa5petnCqhv,oz-downtown-plan-sXGTZdK36gwa5petnCqhv
rumford-to-hanover-opp-plan-LL-LyLfdFRz06UwHcTRTE.zip,vetro_manual_batch2_2026-01-30,rumford-to-hanover-opp-plan-LL-LyLfdFRz06UwHcTRTE,to-hanover-opp-plan-LL-LyLfdFRz06UwHcTRTE
saco-large-scale-hood-plan-f3GyWbQo7DuQxSKmwwDes.zip,vetro_manual_batch2_2026-01-30,saco-large-scale-hood-plan-f3GyWbQo7DuQxSKmwwDes,large-scale-hood-plan-f3GyWbQo7DuQxSKmwwDes
saco-opp-zone-downtown-plan-3mVYBlrb9wk-XgvNcwLoa.zip,vetro_manual_batch2_2026-01-30,saco-opp-zone-downtown-plan-3mVYBlrb9wk-XgvNcwLoa,opp-zone-downtown-plan-3mVYBlrb9wk-XgvNcwLoa
saco-opp-zone-plan-6eKBQEc198neRFLAY3VgO.zip,vetro_manual_batch2_2026-01-30,saco-opp-zone-plan-6eKBQEc198neRFLAY3VgO,opp-zone-plan-6eKBQEc198neRFLAY3VgO
saco-opp-zone-route-1-plan-g6AjsTNiQ187zRly_wCx9.zip,vetro_manual_batch2_2026-01-30,saco-opp-zone-route-1-plan-g6AjsTNiQ187zRly_wCx9,opp-zone-route-1-plan-g6AjsTNiQ187zRly_wCx9
sanford-large-scale-hood-plan-nBjPWFOzsJUw-yg1_BfF6.zip,vetro_manual_batch2_2026-01-30,sanford-large-scale-hood-plan-nBjPWFOzsJUw-yg1_BfF6,large-scale-hood-plan-nBjPWFOzsJUw-yg1_BfF6
scarborough-large-scale-hood-plan-9y9ZQeoWHUqxwcaUoJ5i6.zip,vetro_manual_batch2_2026-01-30,scarborough-large-scale-hood-plan-9y9ZQeoWHUqxwcaUoJ5i6,large-scale-hood-plan-9y9ZQeoWHUqxwcaUoJ5i6
sebago-rus-hood-plan-RX7heuwVqwZAOzJyuNHuY.zip,vetro_manual_batch2_2026-01-30,sebago-rus-hood-plan-RX7heuwVqwZAOzJyuNHuY,rus-hood-plan-RX7heuwVqwZAOzJyuNHuY
skowhegan-rus-hood-plan--Zgpud7TjAmQaLrNu2iFt.zip,vetro_manual_batch2_2026-01-30,skowhegan-rus-hood-plan--Zgpud7TjAmQaLrNu2iFt,rus-hood-plan--Zgpud7TjAmQaLrNu2iFt
somerville-rus-hood-plan-TrZf9hwiipITtoPMswTvg.zip,vetro_manual_batch2_2026-01-30,somerville-rus-hood-plan-TrZf9hwiipITtoPMswTvg,rus-hood-plan-TrZf9hwiipITtoPMswTvg
south-bath-opp-zone-dense-plan-JHP2_MY1Mwe9s9Zk0Ko27.zip,vetro_manual_batch2_2026-01-30,south-bath-opp-zone-dense-plan-JHP2_MY1Mwe9s9Zk0Ko27,bath-opp-zone-dense-plan-JHP2_MY1Mwe9s9Zk0Ko27
south-bath-opp-zone-plan-NLfP_bZyuEzTJJyFBLQds.zip,vetro_manual_batch2_2026-01-30,south-bath-opp-zone-plan-NLfP_bZyuEzTJJyFBLQds,bath-opp-zone-plan-NLfP_bZyuEzTJJyFBLQds
south-paris-re-connect-locations-plan-Raxr7nqKu4vgzRThmHrWw.zip,vetro_manual_batch2_2026-01-30,south-paris-re-connect-locations-plan-Raxr7nqKu4vgzRThmHrWw,paris-re-connect-locations-plan-Raxr7nqKu4vgzRThmHrWw
south-portland-large-scale-hood-plan-1Rwe2OXJrMIpGC_LIZDdK.zip,vetro_manual_batch2_2026-01-30,south-portland-large-scale-hood-plan-1Rwe2OXJrMIpGC_LIZDdK,portland-large-scale-hood-plan-1Rwe2OXJrMIpGC_LIZDdK
stonington-all-premises-plan-BatwX_TO7Xc7APD1ALZFW.zip,vetro_manual_batch2_2026-01-30,stonington-all-premises-plan-BatwX_TO7Xc7APD1ALZFW,all-premises-plan-BatwX_TO7Xc7APD1ALZFW
topsham-large-scale-hood-plan-OkG2SSi-jaYDbRGSgATMz.zip,vetro_manual_batch2_2026-01-30,topsham-large-scale-hood-plan-OkG2SSi-jaYDbRGSgATMz,large-scale-hood-plan-OkG2SSi-jaYDbRGSgATMz
turner-re-connect-locations-plan-tpRYj8hCDS_wJz1dkfRNc.zip,vetro_manual_batch2_2026-01-30,turner-re-connect-locations-plan-tpRYj8hCDS_wJz1dkfRNc,re-connect-locations-plan-tpRYj8hCDS_wJz1dkfRNc
wells-large-scale-hood-plan-tFELQavuwHdUQvL3Dy3hz.zip,vetro_manual_batch2_2026-01-30,wells-large-scale-hood-plan-tFELQavuwHdUQvL3Dy3hz,large-scale-hood-plan-tFELQavuwHdUQvL3Dy3hz
west-paris-re-connect-locations-plan--xVkL0bKouXU80nZbCfd5.zip,vetro_manual_batch2_2026-01-30,west-paris-re-connect-locations-plan--xVkL0bKouXU80nZbCfd5,paris-re-connect-locations-plan--xVkL0bKouXU80nZbCfd5
westbrook-large-scale-hood-plan-bAoebBarO1NTsDjFSQsyD.zip,vetro_manual_batch2_2026-01-30,westbrook-large-scale-hood-plan-bAoebBarO1NTsDjFSQsyD,large-scale-hood-plan-bAoebBarO1NTsDjFSQsyD
windham-large-scale-hood-plan-OZh07jK-zA2Wsw3UMVWJk.zip,vetro_manual_batch2_2026-01-30,windham-large-scale-hood-plan-OZh07jK-zA2Wsw3UMVWJk,large-scale-hood-plan-OZh07jK-zA2Wsw3UMVWJk
yarmouth-large-scale-hood-plan-cujEk7LI8h6LBnNK9wvkV.zip,vetro_manual_batch2_2026-01-30,yarmouth-large-scale-hood-plan-cujEk7LI8h6LBnNK9wvkV,large-scale-hood-plan-cujEk7LI8h6LBnNK9wvkV
york-large-scale-hood-plan-h8o04_-3Qkf_FKYy4PHAk.zip,vetro_manual_batch2_2026-01-30,york-large-scale-hood-plan-h8o04_-3Qkf_FKYy4PHAk,large-scale-hood-plan-h8o04_-3Qkf_FKYy4PHAk
